Latitude,Longitude,Ellps Height (m),Geoid Height (m),Ortho Height (m)
8.38351,7.28232,389.388,24,365.39
8.6087,6.77217,282.455,23.06,259.4
8.79897,7.59042,812.599,23.08,789.52
9.10491,7.20226,684.662,23.29,661.37
9.13293,7.76363,653.302,22.7,630.61
9.08255,7.53658,940.96,23.14,917.82
8.85287,7.15234,688.527,23.45,665.07
9.00718,7.00044,425.892,23.22,402.67
9.42704,6.63444,480.924,25.87,455.06
9.03561,6.52405,369.683,23.18,346.5
9.3648,7.01549,605.438,24.42,581.02
8.37265,7.53265,302.62,23.65,278.97
9.57345,6.82787,536.946,25.58,511.37
9.49172,6.77521,543.707,25.65,518.05
9.25016,7.41483,805.769,23.4,782.36
9.34296,6.7899,582.839,25.12,557.72
8.60749,6.77625,285.162,23.07,262.09
9.36668,7.0153,605.941,24.43,581.51
9.57107,7.43086,646.942,23.61,623.33
9.08606,6.78637,480.905,23.66,457.25
9.44802,7.17211,587.627,24.15,563.48
9.33412,7.09749,562.234,24.04,538.2
9.34564,7.18021,588.878,23.87,565.01
9.12266,7.06799,401.652,23.39,378.26
9.14877,7.45856,844.21,23.29,820.92
9.20981,7.29292,770.531,23.4,747.13
9.07805,7.35544,530.487,23.2,507.29
9.24184,6.9842,391.326,23.97,367.36
9.13412,6.94749,429.115,23.61,405.5
9.2422,7.13776,588.065,23.64,564.42
9.40136,6.93543,522.076,24.85,497.22
9.44901,7.00547,553.216,24.76,528.46
9.43363,7.08767,515.927,24.41,491.52
9.20003,6.82166,614.213,24.26,589.95
9.23169,6.89754,293.192,24.18,269.01
9.33207,6.93436,475.33,24.56,450.77
9.50704,7.22998,566.46,24.06,542.4
9.01508,7.13249,469.654,23.25,446.41
9.43721,7.35328,742.725,23.66,719.06
9.55478,7.33806,557.385,23.79,533.59
9.63644,7.36057,650.645,23.77,626.87
9.48486,7.44769,722.146,23.57,698.57
9.03846,7.4485,588.142,23.17,564.98
8.91759,6.78543,275.652,22.87,252.78
8.82069,6.75474,217.076,22.71,194.37
8.76127,6.76198,201.846,22.75,179.09
8.66532,6.79196,170.851,22.98,147.87
8.46507,6.80444,245.535,23.31,222.22
8.3623,6.80581,150.579,23.35,127.22
8.2819,6.85335,238.242,23.51,214.74
8.56268,6.98045,309.526,23.67,285.86
8.42935,7.39207,376.369,23.9,352.47
8.48131,7.53246,532.739,23.66,509.07
8.59964,7.58349,702.602,23.44,679.17
8.94489,7.63069,539.014,22.81,516.2
8.98655,7.51496,640.106,23.09,617.01
8.98567,7.37259,471.585,23.2,448.38
8.98659,7.29956,563.154,23.22,539.93
8.96322,7.19812,604.646,23.28,581.37
8.93025,7.0919,194.083,23.26,170.82
8.89092,7.03646,274.586,23.24,251.35
8.94999,6.93018,309.466,23.08,286.39
8.81896,6.92621,246.044,23.07,222.97
8.78721,7.02198,492.691,23.38,469.31
8.75112,6.87055,232.213,23.02,209.2
8.70161,6.88858,242.885,23.17,219.72
8.64075,6.98488,323.063,23.55,299.51
8.57572,6.93438,232.184,23.53,208.65
8.6047,6.87907,201.735,23.33,178.41
8.50069,6.87832,241.487,23.45,218.03
8.38144,6.85903,273.404,23.46,249.94
8.35147,6.95267,267.42,23.68,243.74
8.4288,6.97137,268.023,23.69,244.33
8.35926,7.06874,241.127,23.9,217.23
8.43613,7.11947,287.559,23.93,263.63
8.5505,7.03184,367.227,23.78,343.45
8.60102,7.03177,382.202,23.72,358.48
8.72248,6.97842,274.863,23.39,251.48
8.67567,7.02953,340.836,23.58,317.25
8.37651,7.15668,339.952,24.01,315.94
9.40445,7.44115,819.408,23.55,795.86
9.48801,7.58655,665.598,23.44,642.15
9.36938,7.56377,827.179,23.45,803.73
9.41955,7.64708,745.206,23.38,721.83
9.49769,7.70478,801.354,23.39,777.97
9.40548,7.73413,644.96,23.25,621.71
9.3068,7.69227,784.093,23.14,760.95
9.32938,7.76672,503.55,23.06,480.49
9.08943,7.68118,538.368,22.8,515.57
9.01019,7.66442,415.409,22.75,392.65
9.21054,7.75813,651.342,22.81,628.53
9.1074,7.60095,893.258,23.05,870.21
9.19375,7.58821,790.571,23.23,767.35
9.24021,7.54598,844.866,23.35,821.52
9.45339,7.53313,788.673,23.5,765.17
9.21115,7.66163,592.308,23.03,569.27
9.29791,7.47996,818.091,23.44,794.65
9.2105,7.17951,538.496,23.51,514.99
9.14516,7.38674,777.888,23.27,754.62
9.33045,7.3031,621.493,23.58,597.91
9.09227,7.28037,386.418,23.24,363.18
9.02672,7.23463,449.496,23.23,426.26
9.15277,7.29748,726.165,23.31,702.85
9.01725,6.88576,157.729,23.21,134.51
8.79525,7.24699,608.901,23.58,585.32
8.74697,7.12673,351.141,23.6,327.54
8.65477,7.11973,429.048,23.74,405.31
8.54121,7.096,383.01,23.87,359.14
8.46534,7.24387,309.218,24,285.22
8.53683,7.2543,527.715,23.99,503.73
8.47252,7.3183,385.954,23.97,361.99
8.66427,7.22209,481.485,23.79,457.7
8.91608,7.34023,558.346,23.28,535.07
8.93315,7.44813,563.169,23.21,539.96
8.82292,7.36108,500.446,23.47,476.98
8.84448,7.49742,721.625,23.31,698.32
8.77098,7.45333,895.904,23.57,872.34
8.6863,7.50612,758.909,23.61,735.3
8.70034,7.36394,698.855,23.8,675.06
8.70767,7.5922,399.857,23.22,376.64
8.65429,7.38091,753.862,23.87,729.99
8.59707,7.45033,657.155,23.83,633.33
8.57912,7.35324,568.642,23.93,544.71
8.52464,7.43315,509.345,23.85,485.5
8.78662,7.33182,581.772,23.58,558.19
8.78128,7.01854,480.539,23.38,457.16
8.63554,6.97235,323.05,23.53,299.52
9.04226,7.45073,577.1,23.17,553.93
9.31558,7.69767,784.673,23.15,761.52
9.46275,7.51076,799.077,23.52,775.55
8.5307,7.10028,371.776,23.88,347.89
8.5117,7.24454,459.853,23.99,435.86
